numMobiles	populationSize	mapoModelMaxEvaluations	injectedSolutionsFraction	avg	std	std_percent	time
16	58	35942	100	697,899	28,28	4,05	264,697
20	24	18720	100	700,998	23,90	3,41	191,680
10	42	20160	100	691,669	22,59	3,27	76,475
14	25	16934	100	711,533	34,58	4,86	114,477
16	77	58982	100	698,679	26,37	3,77	449,026
20	48	46080	100	694,253	16,24	2,34	444,206
10	54	30780	100	685,881	13,64	1,99	117,386
14	42	33516	100	701,582	21,07	3,00	241,943
16	96	87552	100	696,139	19,36	2,78	652,338
20	72	82080	100	693,040	17,18	2,48	778,854
12	14	11405	100	699,184	19,01	2,72	63,278
14	59	54331	100	702,962	21,23	3,02	346,998
18	32	38491	100	699,390	19,30	2,76	324,898
20	96	126720	100	693,040	17,18	2,48	1167,452
12	29	25920	100	699,109	18,95	2,71	133,317
14	76	79380	100	693,546	13,01	1,88	486,258
18	54	72900	100	697,451	16,88	2,42	596,284
10	18	810	100	696,638	40,65	5,83	16,088
12	58	3732	100	692,322	18,36	2,65	23,894
16	38	4424	100	704,069	33,87	4,81	38,887
18	97	14172	100	696,724	18,80	2,70	132,303
10	30	1620	100	689,927	17,70	2,57	6,656
12	72	5599	100	696,402	21,03	3,02	30,197
16	58	7963	100	699,355	28,16	4,03	62,252
20	24	5184	100	703,961	31,39	4,46	55,220
10	42	2646	100	698,897	43,02	6,16	11,472
14	25	3112	100	714,346	42,13	5,90	24,711
16	77	12386	100	701,828	29,03	4,14	104,167
20	48	12096	100	696,674	19,70	2,83	125,902
10	54	3888	100	697,767	42,43	6,08	15,553
14	42	5927	100	709,476	30,97	4,37	46,015
16	96	17695	100	696,139	19,36	2,78	142,208
20	72	20736	100	693,040	17,18	2,48	199,410
12	22	7776	100	700,101	37,78	5,40	55,870
14	67	28224	100	699,170	20,19	2,89	187,460
18	43	23328	100	696,340	18,34	2,63	208,124
20	108	64800	100	694,309	18,11	2,61	660,020
12	36	16848	100	696,876	22,45	3,22	88,200
14	84	45864	100	694,809	18,64	2,68	299,147
18	65	45490	100	693,155	11,40	1,64	382,387
10	12	5760	100	685,881	13,64	1,99	21,193
12	50	29030	100	690,314	13,77	2,00	146,258
16	29	22118	100	697,229	21,01	3,01	170,295
18	86	74650	100	696,695	17,00	2,44	641,717
10	24	13680	100	688,290	19,71	2,86	54,208
12	65	44323	100	693,761	21,54	3,10	224,328
16	48	43776	100	698,687	16,62	2,38	326,882
18	108	110808	100	696,813	13,86	1,99	961,400
10	36	23760	100	689,927	17,70	2,57	88,446
14	17	15523	100	708,588	35,95	5,07	104,898
16	67	70963	100	692,099	13,26	1,92	499,636
20	36	47520	100	694,264	17,95	2,59	467,021
10	48	36000	100	695,330	36,27	5,22	135,256
14	34	35280	100	705,526	33,84	4,80	257,211
16	86	103680	100	697,470	18,04	2,59	760,952
20	60	90000	100	692,211	13,76	1,99	863,860
10	60	50400	100	685,881	13,64	1,99	185,996
14	50	59270	100	693,546	13,01	1,88	362,045
18	22	32659	100	698,456	20,07	2,87	280,164
12	22	1400	100	707,134	47,85	6,77	19,582
14	67	5927	100	700,891	22,36	3,19	44,488
18	43	6299	100	705,126	34,13	4,84	58,072
20	108	19440	100	695,364	21,01	3,02	204,176
12	36	2799	100	698,779	28,34	4,06	15,836
14	84	8891	100	701,878	33,38	4,76	63,578
18	65	11337	100	698,342	25,48	3,65	99,084
10	12	756	100	693,228	24,79	3,58	3,025
12	50	4572	100	693,031	19,71	2,84	25,773
16	29	4645	100	696,973	20,02	2,87	36,903
18	86	17636	100	696,695	17,00	2,44	159,558
10	24	1728	100	688,290	19,71	2,86	6,385
12	65	6718	100	695,768	24,41	3,51	35,726
16	48	8847	100	698,687	16,62	2,38	66,980
18	108	25194	100	696,813	13,86	1,99	209,849
12	29	10368	100	699,109	18,95	2,71	71,519
14	76	31752	100	695,939	17,98	2,58	209,644
18	54	29160	100	696,842	15,96	2,29	249,666
20	120	72000	100	693,085	17,24	2,49	699,923
12	43	20218	100	690,314	13,77	2,00	102,230
16	19	11981	100	701,333	29,74	4,24	91,019
