7848.00	5015.33	2397.22	12.492	179.20
7849.00	5014.47	2394.79	11.988	206.69
7850.00	5012.25	2391.58	14.328	215.06
7851.00	5010.12	2388.05	15.048	211.08
7852.00	5008.05	2384.62	14.184	211.08
7853.00	5005.91	2381.07	15.048	211.08
7854.00	5003.84	2377.63	14.256	211.08
7855.00	5001.81	2374.27	14.040	211.08
7856.00	4999.74	2370.83	14.832	211.08
7857.00	4997.60	2367.28	15.012	211.08
7858.00	4995.50	2363.80	14.688	211.08
7859.00	4993.35	2360.22	15.048	211.08
7860.00	4991.26	2356.76	14.184	211.08
7861.00	4989.17	2353.29	14.508	211.08
7862.00	4987.11	2350.07	14.112	214.58
7863.00	4984.85	2346.78	14.616	214.58
7864.00	4982.56	2343.46	14.868	214.58
7865.00	4980.25	2340.11	14.292	214.58
7866.00	4977.91	2336.72	15.084	214.58
7867.00	4975.64	2333.43	14.400	214.55
7868.00	4973.37	2330.12	14.544	214.55
7869.00	4971.09	2326.80	14.724	214.04
7870.00	4968.87	2323.49	14.580	213.88
7871.00	4966.74	2320.18	14.832	211.47
7872.00	4964.82	2317.36	14.508	220.15
7873.00	4962.06	2315.43	14.868	237.85
7874.00	4958.54	2313.22	14.472	234.86
7875.00	4955.37	2310.91	14.472	233.88
7876.00	4952.28	2308.66	14.976	234.34
7877.00	4948.75	2306.71	14.868	241.07
7878.00	4945.24	2304.78	14.760	241.20
7879.00	4941.75	2302.94	14.328	242.70
7880.00	4938.18	2301.09	14.256	242.70
7881.00	4934.54	2299.21	14.760	242.70
7882.00	4931.00	2297.39	14.040	242.70
7883.00	4927.34	2295.69	14.652	246.03
7884.00	4923.61	2294.03	14.688	246.03
7885.00	4919.93	2292.39	14.976	246.03
7886.00	4916.19	2290.73	14.832	246.03
7887.00	4912.56	2289.12	14.184	246.03
7888.00	4908.94	2287.51	14.472	246.03
7889.00	4905.18	2285.83	14.904	246.03
7890.00	4901.59	2284.24	14.184	246.03
7891.00	4897.84	2282.57	15.048	246.03
7892.00	4894.14	2280.93	14.904	246.03
7893.00	4890.42	2279.31	14.940	247.18
7894.00	4886.56	2277.92	14.760	250.30
7895.00	4882.77	2276.57	14.472	250.30
7896.00	4878.85	2275.11	14.580	248.42
7897.00	4875.24	2273.58	14.148	247.10
7898.00	4871.59	2272.04	14.256	247.10
7899.00	4867.88	2270.47	14.976	247.10
7900.00	4864.12	2268.88	14.760	247.10
7901.00	4860.28	2267.23	14.976	246.27
7902.00	4856.64	2265.63	14.436	246.27
7903.00	4853.11	2263.80	14.040	241.24
7904.00	4849.61	2261.64	14.976	245.24
7905.00	4845.99	2259.97	14.184	245.24
7906.00	4842.35	2258.29	14.724	245.24
7907.00	4838.65	2256.86	14.508	249.20
7908.00	4834.71	2255.59	14.940	245.24
7909.00	4831.17	2254.03	14.544	247.55
7910.00	4827.37	2252.56	14.832	248.79
7911.00	4823.62	2251.10	14.256	248.79
7912.00	4819.85	2249.64	14.760	248.79
7913.00	4816.12	2248.19	14.076	248.79
7914.00	4812.46	2246.77	14.112	248.79
7915.00	4808.80	2245.40	14.256	250.00
7916.00	4805.03	2244.03	14.076	250.00
7917.00	4801.14	2242.61	14.868	250.00
7918.00	4797.28	2241.21	14.580	250.00
7919.00	4793.46	2239.82	14.508	250.00
7920.00	4789.68	2238.26	14.436	246.72
7921.00	4785.94	2236.65	14.472	246.72
7922.00	4782.11	2235.00	15.012	246.72
7923.00	4778.33	2233.38	15.012	246.72
7924.00	4774.61	2231.78	14.184	246.72
7925.00	4770.84	2230.16	15.012	246.72
7926.00	4767.08	2228.54	15.012	246.72
7927.00	4763.26	2226.89	15.012	246.72
7928.00	4759.50	2225.27	14.976	246.72
7929.00	4755.81	2223.69	14.544	246.72
7930.00	4752.04	2222.06	14.940	246.72
7931.00	4748.33	2220.47	14.292	246.72
7932.00	4744.66	2218.89	14.112	246.72
7933.00	4740.82	2217.24	15.048	246.72
7934.00	4737.14	2215.65	14.688	246.72
7935.00	4733.39	2214.04	14.652	246.72
7936.00	4729.65	2212.43	14.400	246.72
7937.00	4725.90	2210.81	14.364	246.72
7938.00	4722.13	2209.19	14.652	246.72
7939.00	4718.35	2207.57	15.012	246.72
7940.00	4714.62	2205.96	14.904	246.72
7941.00	4710.86	2204.34	14.976	246.72
7942.00	4707.06	2202.71	14.832	246.72
7943.00	4703.27	2201.07	15.120	246.72
7944.00	4699.52	2199.46	14.544	246.72
7945.00	4695.84	2197.88	14.688	246.72
7946.00	4692.15	2196.29	14.364	246.72
7947.00	4688.45	2194.70	14.472	246.72
7948.00	4684.73	2193.10	14.580	246.72
7949.00	4680.98	2191.48	14.652	246.72
7950.00	4677.34	2189.92	14.472	246.72
7951.00	4673.64	2188.32	14.580	246.72
7952.00	4670.00	2186.78	14.364	247.05
7953.00	4666.31	2185.21	14.580	247.05
7954.00	4662.66	2183.67	14.184	247.05
7955.00	4658.98	2182.31	14.724	250.17
7956.00	4655.30	2181.34	14.148	260.35
7957.00	4651.45	2180.80	14.148	263.30
7958.00	4647.47	2180.36	14.904	264.32
7959.00	4643.39	2179.98	14.652	264.61
7960.00	4639.66	2179.77	14.400	270.71
7961.00	4635.70	2179.99	14.400	272.37
7962.00	4631.88	2180.13	14.976	272.33
7963.00	4628.25	2181.03	14.904	289.30
7964.00	4624.45	2182.48	15.120	292.18
7965.00	4620.67	2184.02	14.868	292.18
7966.00	4616.66	2185.37	14.580	287.24
7967.00	4612.41	2186.36	14.976	277.30
7968.00	4608.38	2186.78	14.328	275.99
7969.00	4604.09	2186.89	14.868	266.78
7970.00	4599.78	2186.62	14.652	266.01
7971.00	4595.79	2185.84	14.400	258.93
7972.00	4591.67	2184.97	14.256	256.81
7973.00	4587.73	2183.67	15.012	251.52
7974.00	4583.97	2182.32	14.292	249.32
7975.00	4580.13	2180.68	15.048	246.23
7976.00	4576.35	2178.99	14.832	245.86
7977.00	4572.29	2176.89	14.868	238.68
