numMobiles	populationSize	mapoModelMaxEvaluations	injectedSolutionsFraction	avg	std	std_percent	time
18	54	72900	100	697,451	16,88	2,42	596,284
12	22	7776	100	700,101	37,78	5,40	55,870
14	67	28224	100	699,170	20,19	2,89	187,460
18	43	23328	100	696,340	18,34	2,63	208,124
20	108	64800	100	694,309	18,11	2,61	660,020
12	36	16848	100	696,876	22,45	3,22	88,200
14	84	45864	100	694,809	18,64	2,68	299,147
18	65	45490	100	693,155	11,40	1,64	382,387
10	12	5760	100	685,881	13,64	1,99	21,193
12	50	29030	100	690,314	13,77	2,00	146,258
16	29	22118	100	697,229	21,01	3,01	170,295
18	86	74650	100	696,695	17,00	2,44	641,717
10	24	13680	100	688,290	19,71	2,86	54,208
12	65	44323	100	693,761	21,54	3,10	224,328
16	48	43776	100	698,687	16,62	2,38	326,882
18	108	110808	100	696,813	13,86	1,99	961,400
10	36	23760	100	689,927	17,70	2,57	88,446
14	17	15523	100	708,588	35,95	5,07	104,898
16	67	70963	100	692,099	13,26	1,92	499,636
20	36	47520	100	694,264	17,95	2,59	467,021
10	48	36000	100	695,330	36,27	5,22	135,256
14	34	35280	100	705,526	33,84	4,80	257,211
16	86	103680	100	697,470	18,04	2,59	760,952
20	60	90000	100	692,211	13,76	1,99	863,860
10	60	50400	100	685,881	13,64	1,99	185,996
14	50	59270	100	693,546	13,01	1,88	362,045
18	22	32659	100	698,456	20,07	2,87	280,164
12	29	10368	100	699,109	18,95	2,71	71,519
14	76	31752	100	695,939	17,98	2,58	209,644
18	54	29160	100	696,842	15,96	2,29	249,666
20	120	72000	100	693,085	17,24	2,49	699,923
12	43	20218	100	690,314	13,77	2,00	102,230
16	19	11981	100	701,333	29,74	4,24	91,019
18	76	53071	100	696,695	17,00	2,44	454,667
10	18	8640	100	689,927	17,70	2,57	33,122
12	58	33178	100	693,686	16,24	2,34	164,440
16	38	29491	100	696,101	15,79	2,27	220,420
18	97	83981	100	695,386	16,48	2,37	697,435
10	30	17100	100	689,927	17,70	2,57	65,013
12	72	49248	100	693,686	16,24	2,34	249,008
16	58	52531	100	697,899	28,28	4,05	381,735
20	24	27360	100	699,368	22,51	3,22	282,151
10	42	27720	100	691,669	22,59	3,27	105,811
14	25	23285	100	711,533	34,58	4,86	158,278
16	77	81101	100	695,990	15,64	2,25	610,280
20	48	63360	100	694,253	16,24	2,34	611,562
10	54	40500	100	685,881	13,64	1,99	149,360
14	42	44100	100	701,582	21,07	3,00	313,044
16	96	115200	100	696,139	19,36	2,78	846,541
20	72	108000	100	693,040	17,18	2,48	1003,008
12	14	14515	100	699,184	19,01	2,72	77,470
14	59	69149	100	702,962	21,23	3,02	440,284
12	36	12960	100	696,876	22,45	3,22	86,101
14	84	35280	100	694,809	18,64	2,68	230,940
18	65	34992	100	693,155	11,40	1,64	304,830
10	12	4680	100	685,881	13,64	1,99	18,488
12	50	23587	100	690,314	13,77	2,00	121,184
16	29	17971	100	697,229	21,01	3,01	142,385
18	86	60653	100	696,695	17,00	2,44	527,802
10	24	11520	100	688,290	19,71	2,86	43,629
12	65	37325	100	693,761	21,54	3,10	187,554
16	48	36864	100	698,687	16,62	2,38	276,714
18	108	93312	100	696,813	13,86	1,99	802,869
10	36	20520	100	689,927	17,70	2,57	77,510
14	17	13406	100	708,588	35,95	5,07	88,613
16	67	61286	100	692,099	13,26	1,92	445,238
20	36	41040	100	694,264	17,95	2,59	398,417
10	48	31680	100	695,330	36,27	5,22	122,968
14	34	31046	100	705,526	33,84	4,80	230,527
