numMobiles	populationSize	mapoModelMaxEvaluations	injectedSolutionsFraction	avg	std	std_percent	time
20	40	6000	100	700,300	32,68	4,67	64,152
20	16	8000	100	699,625	22,34	3,19	83,827
20	32	9000	100	696,004	15,38	2,21	93,157
25	10	625	100	739,388	55,99	7,57	10,227
25	30	1250	100	743,436	45,78	6,16	20,680
25	50	1875	100	739,467	50,30	6,80	29,034
25	20	3750	100	722,288	43,54	6,03	64,644
25	40	5000	100	719,671	43,32	6,02	80,099
25	10	7500	100	724,446	48,31	6,67	122,565
25	30	8750	100	712,697	30,22	4,24	141,220
25	50	10000	100	712,795	46,01	6,46	154,578
25	20	12500	100	710,283	31,27	4,40	193,472
10	6	500	100	691,669	22,59	3,27	22,980
10	14	750	100	707,253	48,65	6,88	4,498
10	2	1500	100	694,602	23,32	3,36	6,961
10	10	2000	100	699,346	42,50	6,08	9,438
10	18	2500	100	696,638	40,65	5,83	10,159
10	6	3500	100	691,669	22,59	3,27	13,925
10	14	4000	100	705,591	44,76	6,34	16,370
10	2	5000	100	692,193	19,36	2,80	20,276
15	15	375	100	749,663	51,19	6,83	4,334
15	27	750	100	762,957	42,63	5,59	7,834
15	9	1500	100	730,008	38,78	5,31	14,085
15	21	2250	100	709,055	43,17	6,09	15,828
15	3	3750	100	732,135	39,35	5,37	34,622
15	15	4500	100	724,070	38,03	5,25	39,669
15	27	5250	100	716,773	22,35	3,12	49,164
15	9	6750	100	716,713	27,55	3,84	58,291
15	21	7500	100	703,369	34,67	4,93	53,110
20	4	1000	100	721,541	41,77	5,79	12,004
20	20	1500	100	711,153	36,61	5,15	17,949
20	36	2000	100	720,330	42,61	5,92	21,918
20	12	4000	100	709,878	35,36	4,98	43,079
20	28	5000	100	705,231	26,64	3,78	53,809
20	4	7000	100	709,239	28,08	3,96	78,658
20	20	8000	100	701,699	29,27	4,17	84,888
20	36	9000	100	698,219	28,24	4,04	92,726
25	15	625	100	746,416	59,12	7,92	10,931
25	35	1250	100	744,452	53,90	7,24	20,308
25	5	2500	100	778,810	41,78	5,36	53,641
25	25	3750	100	733,564	47,30	6,45	60,910
25	45	5000	100	727,653	50,29	6,91	82,615
25	15	7500	100	711,289	39,02	5,49	116,380
25	35	8750	100	721,087	42,00	5,82	138,211
25	5	11250	100	757,884	39,06	5,15	224,888
25	25	12500	100	718,763	38,87	5,41	175,246
10	8	500	100	705,729	38,51	5,46	19,613
10	16	750	100	691,669	22,59	3,27	4,015
10	4	1500	100	697,981	24,86	3,56	8,396
10	12	2000	100	685,881	13,64	1,99	8,031
10	20	2500	100	694,512	23,34	3,36	10,096
10	8	3500	100	702,284	36,57	5,21	14,582
10	16	4000	100	691,669	22,59	3,27	15,614
10	4	5000	100	696,239	21,11	3,03	20,228
15	18	375	100	747,057	52,25	6,99	4,057
15	30	750	100	746,941	47,78	6,40	7,397
15	12	1500	100	741,014	34,92	4,71	14,561
15	24	2250	100	706,685	30,41	4,30	16,303
15	6	3750	100	745,269	35,84	4,81	38,440
15	18	4500	100	721,314	39,25	5,44	39,033
15	30	5250	100	703,825	30,01	4,26	39,792
15	12	6750	100	727,104	30,44	4,19	60,299
15	24	7500	100	706,685	30,41	4,30	53,346
20	8	1000	100	713,345	35,98	5,04	11,591
20	24	1500	100	717,899	43,13	6,01	17,163
20	40	2000	100	714,908	45,07	6,30	22,530
20	16	4000	100	702,302	25,94	3,69	42,146
20	32	5000	100	697,209	17,56	2,52	52,755
20	8	7000	100	707,828	28,08	3,97	75,008
20	24	8000	100	700,998	23,90	3,41	85,285
20	40	9000	100	696,015	22,11	3,18	91,549
25	20	625	100	753,188	50,91	6,76	9,799
25	40	1250	100	744,346	53,63	7,21	20,721
25	10	2500	100	727,762	51,00	7,01	41,233
25	30	3750	100	724,118	38,38	5,30	61,288
25	50	5000	100	718,586	47,81	6,65	80,515
25	20	7500	100	714,279	37,58	5,26	116,654
25	40	8750	100	715,597	41,47	5,79	134,689
25	10	11250	100	717,169	36,77	5,13	181,121
25	30	12500	100	709,174	29,05	4,10	185,137
10	6	250	100	701,458	43,47	6,20	10,501
10	14	500	100	707,253	48,65	6,88	5,809
10	2	1000	100	702,950	41,11	5,85	5,611
10	10	1500	100	699,346	42,50	6,08	7,895
10	18	2000	100	696,638	40,65	5,83	8,955
10	6	3000	100	691,669	22,59	3,27	11,605
10	14	3500	100	705,591	44,76	6,34	15,117
10	2	4500	100	692,193	19,36	2,80	17,827
10	10	5000	100	696,938	35,57	5,10	21,358
15	27	375	100	774,541	48,15	6,22	3,777
15	9	1125	100	731,639	41,76	5,71	10,361
15	21	1500	100	708,548	42,92	6,06	10,993
15	3	3000	100	732,114	39,28	5,37	28,233
15	15	3750	100	724,977	38,13	5,26	33,923
15	27	4500	100	717,476	22,36	3,12	42,331
15	9	6000	100	716,713	27,55	3,84	52,058
15	21	6750	100	703,369	34,67	4,93	46,803
20	4	500	100	731,046	49,53	6,78	6,230
20	20	1000	100	721,729	41,12	5,70	11,808
20	36	1500	100	720,854	48,02	6,66	16,319
20	12	3000	100	711,214	36,47	5,13	32,552
20	28	4000	100	706,190	26,82	3,80	41,920
20	4	6000	100	709,475	28,27	3,98	69,392
20	20	7000	100	702,411	32,98	4,70	75,347
20	36	8000	100	698,219	28,24	4,04	84,857
20	12	10000	100	708,361	35,76	5,05	106,849
25	35	625	100	751,818	59,42	7,90	9,916
25	5	1875	100	783,754	43,42	5,54	42,820
25	25	2500	100	739,954	50,85	6,87	40,800
